[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[09:16:37 | 05-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x01d62654250e6e92bb9527d9493ec3f096c6ad2ed73164483835baf23d49ef1e
[09:19:41 | 05-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:19:44 | 05-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:23:25 | 06-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x96f7e9cdb9b2570b21c98530d305a2551ea74d01afdbc4522a607a223e1043b3
[09:26:28 | 06-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:26:31 | 06-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:22:38 | 07-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xaca75b50356f1e053d1caf3b596f62d859fccf9c2a0e374ebfe292589f95fd01
[09:25:41 | 07-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:25:43 | 07-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:19:26 | 08-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x533dc15e74fd0c050c33cc184282d04530972b1e268fe68562c4935744feb4bf
[09:22:29 | 08-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:22:32 | 08-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:20:16 | 09-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xb512f744472d9a884cfcb3d72ad39e160ed3f49b258b934dc298273206ea9734
[09:23:20 | 09-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:23:23 | 09-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:19:28 | 10-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf1b91ff99d4ea7224a82cd8616bba1d1f97dc452c9c5c54d3898962088a418c3
[09:22:31 | 10-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:22:34 | 10-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:20:02 | 11-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x84e8d427a0d3c6d0737d448d72120fa49b159fa77bda34be1bb8c152692722d7
[09:23:06 | 11-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:23:09 | 11-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:16:50 | 12-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x15186afa002d84d9dbc85f08e804d3104ca73c5b8929f56d41341f7b87ce8727
[09:19:53 | 12-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:19:56 | 12-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[10:39:16 | 13-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x60819a1cd4272fad40fbb979d0e396b341667646c88494d64725a51fadd4ee58
[10:42:19 | 13-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[10:42:22 | 13-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:24:04 | 14-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x497c4798b0ac5e4366476336ee127a8fd8acc6b09e0cc0fdff0f021c3b02b88a
[09:27:07 | 14-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:27:10 | 14-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:22:49 | 15-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xc5cfd373c752908e89d7db67fb5945cbfcf7fb74947122004decde184e276f7a
[09:25:52 | 15-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:25:55 | 15-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:22:15 | 16-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf047e204ab3bb77815ff4367895134d46016d9011d48629a32752e0056e1e74b
[09:25:18 | 16-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:25:21 | 16-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:21:12 | 17-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x915fa85a93dc26a603ff172a446a59b12b62072dc9fdb01f58cfe25860e28987
[09:24:16 | 17-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:24:20 | 17-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:18:26 | 18-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x287fb81dcb4dde2bac51d3b6718347de37deda65381c471113bf4cfa9920044b
[09:21:29 | 18-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:21:32 | 18-04-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:15:14 | 19-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x8646cedd52570daaca50791f72495a6b0a3e5939e9eafe5a795f7742768b9432
[09:18:17 | 19-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:18:20 | 19-04-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:26:38 | 20-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xccb8fb17eeac7f40cb4949e4d2cd3fa8dc9cf7a7fba24a3bc172e8888a97caf6
[09:29:41 | 20-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:29:44 | 20-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:26:37 | 21-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf4899ce6910a19ca67a41ddff04e94ac71670a7d3f966dfe9e90f4e796e6b577
[09:29:40 | 21-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:29:43 | 21-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:21:14 | 22-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50b2b5bc1a5a66b3b498333cf9559494167c8b8e06b0ff99e54964ccf875db91
[09:24:18 | 22-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:24:21 | 22-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:22:04 | 23-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x88e8def943279cfac7cb44b75c4e5e030c9182d29f7d03aba2c0e51d31beb958
[09:25:07 | 23-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:25:10 | 23-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:23:00 | 24-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf7fed00c213495841e14a667e7389649685d62596df4ab1022e37e773c5b7e95
[09:26:03 | 24-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:26:06 | 24-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:23:39 | 25-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x65b4067ecda131d4bc5b1096313513782f519b9bc05783808bb980908afe49bb
[09:26:42 | 25-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:26:45 | 25-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:18:13 | 26-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6f1182a8fa9d374f3ffff1cbf87f61852fc78c4bcdfc327158a07fad5a9ed843
[09:21:16 | 26-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:21:19 | 26-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:27:03 | 27-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xec15af4a948aea0199aa763788ee3430798199c5836c81f5523665c2cc1dcac1
[09:30:06 | 27-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:30:09 | 27-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:26:37 | 28-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x3bfc8cc5c332151cd4306d2e68803fcb88d650de0d3cd55fc4a60454eaf21db7
[09:29:40 | 28-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:29:44 | 28-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:23:50 | 29-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6a7add973ee4f504123ed8b4fb67be6d784381ae22b3f128788fbc296345fed6
[09:26:53 | 29-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:26:56 | 29-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:23:27 | 30-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xbbf4d89d56b68b9b87c5ba052bfdd8994d6d1428e9ed869eb87cdb82d4340275
[09:26:30 | 30-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:26:33 | 30-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:40:14 | 01-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xacffc1156c59570dc9bdc1cdf850a3aba4a260967f532db02b5fc917b8c123bb
[09:43:18 | 01-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:43:21 | 01-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:24:15 | 02-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf483dddcab7211b76bccdf20dd8b172f4032fe0583aa925cd42ea244a2fe755d
[09:27:18 | 02-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:27:21 | 02-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:21:02 | 03-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xcb3876d1691b29a3e0e7ff110f2e7fcab834546918832c4a61aaf995eefd9d37
[09:24:06 | 03-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:24:09 | 03-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:40:16 | 04-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x4e9edf4682e711e056a1daabff5d5e0a32e7bf55c32e80409fa18e9f105f64aa
[09:43:19 | 04-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:43:22 | 04-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:28:14 | 05-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xbbbce0932a485c29b66362b77121aa6f14496eefb880f396cbd89d7d7b5ee928
[09:31:17 | 05-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:31:21 | 05-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:25:05 | 06-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x2ce828ccf3700a3e3829bcd2de647b379bc93f091b90b42c2b92c34cb1fff001
[09:28:08 | 06-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:28:11 | 06-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:26:27 | 07-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xde08b2ce5eb75449fc26502d1dfe62ab1e413ad3d9d0fc678cbd3223aef14805
[09:29:30 | 07-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:29:33 | 07-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:27:03 | 08-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x4881739928bb56c54f76270cd41076a8b4f404b213f5de2247d52c68cff896ee
[09:30:06 | 08-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:30:09 | 08-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:25:52 | 09-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x2bdf4e4e1be3b0b413580e3b6d74a370a55a3b3b369dc899b4f6ecf052511d39
[09:28:55 | 09-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:28:58 | 09-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:21:05 | 10-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x9b038923e07e41da04b22dbac62698c01fb082c328dc077033ead7af63e7fc83
[09:24:08 | 10-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:24:11 | 10-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:30:41 | 11-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x3a84f1028f49ce20391d8da2fb0820c6bc12ad1b8700a2053d9788021caee61a
[09:33:44 | 11-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:33:47 | 11-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:29:15 | 12-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xa6e31d76fa40a17259712a9c3f652031f39c374d9028993986f3a8302e392019
[09:32:18 | 12-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:32:21 | 12-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:28:01 | 13-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xd1cca5cd943cd040369a2e0ff5f83c4d60b996b373fba718f9a6de097a3803f1
[09:31:04 | 13-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:31:08 | 13-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:26:03 | 14-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf6967dd05fd87d6d7cec015356ceb734198158de1973ae3cea377a9fd5d6f73f
[09:29:07 | 14-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:29:10 | 14-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:25:05 | 15-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x0eadc2110c17ee8f051b69c5075bfa42751d799b34ce10535bcac339857e6191
[09:28:08 | 15-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:28:11 | 15-05-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:27:53 | 16-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xfe36374923dcb04a1c9873ceb9db4b185aad0cff7838d0384018dec6a072250e
[09:30:56 | 16-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:30:59 | 16-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:23:39 | 17-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7d24d550e2b84679387c29b6d0e57010b9f46b581df50fbe3fbce798d298c310
[09:26:43 | 17-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:26:46 | 17-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:40:14 | 18-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x5979f9d7fe23b42292288807aa2b0049342028203b1888160baaa630f3fc0414
[09:43:17 | 18-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:43:20 | 18-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:40:13 | 19-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7f1652be78e01ef04ee0630cd54ce148da76b75165b3e86ca17e54004574355e
[09:43:17 | 19-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:43:20 | 19-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:28:14 | 20-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xabf9a424fec401005358551e4ec73639eeeac686d81f84c6958ed9f5ff8f2cbe
[09:31:18 | 20-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:31:21 | 20-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:28:04 | 21-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x12d532c6e7337e7fa28da02540738b5d17c9332ade1dc6c948e697310fa00730
[09:31:07 | 21-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:31:10 | 21-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:27:15 | 22-05-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xc121f1bcacdbe2b871339de14751859395f7196d272805aeff738b096cb764a5
[09:30:18 | 22-05-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:30:21 | 22-05-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
